,ticker,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-12-31,OHB.DE,2020-12-31,,,29817000.0,17195000.0,20869000.0,246105000.0,360877000.0,39865000.0,39865000.0,39517000.0,-5986000.0,,,,10080000.0,894558000.0,854693000.0,533681000.0,-10048000.0,,19737000.0,20869000.0
2019-12-31,OHB.DE,2019-12-31,,,39144000.0,19133000.0,25543000.0,253275000.0,364317000.0,43213000.0,43213000.0,38607000.0,-4914000.0,,,,13515000.0,1016172000.0,972959000.0,651855000.0,-4069000.0,,25629000.0,25543000.0
2018-12-31,OHB.DE,2018-12-31,,,44092000.0,22710000.0,24998000.0,228740000.0,344333000.0,45314000.0,45314000.0,53017000.0,-3047000.0,,,,15699000.0,993248000.0,947934000.0,648915000.0,-1222000.0,,28393000.0,24998000.0
2017-12-31,OHB.DE,2017-12-31,,,42238000.0,19649000.0,23355000.0,208252000.0,303943000.0,42702000.0,42702000.0,38760000.0,-2948000.0,,,,14514000.0,846101000.0,803399000.0,542158000.0,-464000.0,,27724000.0,23355000.0
