,ticker,Date,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Dividends Paid
2020-12-31,OHB.DE,2020-12-31,1275000.0,-16281000.0,-12648000.0,-20197000.0,-73572000.0,20869000.0,6878000.0,-765000.0,44121000.0,21867000.0,1292000.0,-34630000.0,84929000.0,-7549000.0,9860000.0,-21155000.0,
2019-12-31,OHB.DE,2019-12-31,56457000.0,-19002000.0,46321000.0,33304000.0,-18867000.0,25543000.0,36774000.0,-412000.0,22884000.0,19462000.0,1393000.0,-2558000.0,-79384000.0,-5535000.0,12471000.0,-20946000.0,-7482000.0
2018-12-31,OHB.DE,2018-12-31,-40945000.0,-21030000.0,-38563000.0,-48906000.0,96394000.0,24998000.0,-10262000.0,-505000.0,60179000.0,8365000.0,1216000.0,-1355000.0,-48582000.0,-3388000.0,12407000.0,-24181000.0,-6955000.0
2017-12-31,OHB.DE,2017-12-31,8293000.0,-23429000.0,843000.0,-9617000.0,-11859000.0,23355000.0,2011000.0,80000.0,34977000.0,7467000.0,1222000.0,1378000.0,-3991000.0,-3505000.0,3572000.0,-24676000.0,-6955000.0
