,ticker,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2017-12-31,LPK.DE,2017-12-31,,,3011000.0,,1150000.0,41647000.0,70148000.0,2371000.0,2371000.0,18453000.0,-945000.0,,,,1861000.0,106268000.0,103897000.0,36120000.0,640000.0,,1150000.0,1150000.0
2020-12-31,OSP2.DE,2020-12-31,15427000.0,,6799000.0,,5484000.0,33371000.0,56510000.0,8603000.0,8603000.0,-891000.0,-86000.0,,,,1315000.0,107327000.0,98724000.0,50817000.0,-1804000.0,,5484000.0,5484000.0
2019-12-31,OSP2.DE,2019-12-31,15801000.0,,4050000.0,,5273000.0,31405000.0,49459000.0,3899000.0,3899000.0,-1646000.0,-20000.0,,,,-1223000.0,95630000.0,91731000.0,46171000.0,151000.0,,5273000.0,5273000.0
2018-12-31,OSP2.DE,2018-12-31,15334000.0,,2811000.0,,961000.0,29244000.0,46934000.0,2998000.0,2998000.0,-642000.0,-48000.0,,,,1850000.0,90487000.0,87489000.0,43553000.0,-187000.0,,961000.0,961000.0
2017-12-31,OSP2.DE,2017-12-31,13817000.0,,3113000.0,,3367000.0,26566000.0,45518000.0,4082000.0,4082000.0,-345000.0,-71000.0,,,,-254000.0,84361000.0,80279000.0,38843000.0,-969000.0,,3367000.0,3367000.0
2020-12-31,VQT.DE,2020-12-31,,,-1512000.0,,-1435000.0,26206000.0,45282000.0,-3282000.0,-3282000.0,10059000.0,-1271000.0,,,,-77000.0,78485000.0,81767000.0,33203000.0,1770000.0,,-1435000.0,-1435000.0
2019-12-31,VQT.DE,2019-12-31,,,-1919000.0,,-2566000.0,22435000.0,38009000.0,-5957000.0,-5957000.0,9299000.0,-1079000.0,,,,647000.0,68614000.0,74571000.0,30605000.0,4038000.0,,-2566000.0,-2566000.0
2018-12-31,VQT.DE,2018-12-31,,,-7775000.0,,-7728000.0,20403000.0,30822000.0,-9803000.0,-9803000.0,10358000.0,-859000.0,,,,-47000.0,56328000.0,66131000.0,25506000.0,2028000.0,,-7728000.0,-7728000.0
2017-12-31,VQT.DE,2017-12-31,,,-910000.0,,-858000.0,16708000.0,28918000.0,-2027000.0,-2027000.0,6709000.0,-900000.0,,,,-52000.0,53628000.0,55655000.0,24710000.0,1117000.0,,-858000.0,-858000.0
2020-12-31,ADN1.DE,2020-12-31,,,31639000.0,530000.0,20954000.0,9002000.0,111559000.0,37899000.0,37899000.0,38479000.0,-2405000.0,,,,10692000.0,523548000.0,485649000.0,411989000.0,-6260000.0,,20947000.0,20954000.0
2019-12-31,ADN1.DE,2019-12-31,,,23305000.0,530000.0,17419000.0,8602000.0,108149000.0,24772000.0,24772000.0,52216000.0,-2471000.0,,,,5810000.0,451109000.0,426337000.0,342960000.0,-1467000.0,,17495000.0,17419000.0
2018-12-31,ADN1.DE,2018-12-31,,,22191000.0,59000.0,14046000.0,13692000.0,91544000.0,22994000.0,22994000.0,45247000.0,-742000.0,,,,8192000.0,377561000.0,354567000.0,286017000.0,-803000.0,,13999000.0,14046000.0
2017-12-31,ADN1.DE,2017-12-31,,,16631000.0,137000.0,11025000.0,13783000.0,77981000.0,17624000.0,17624000.0,38381000.0,-754000.0,,,,5300000.0,321637000.0,304013000.0,243656000.0,-993000.0,,11331000.0,11025000.0
2020-12-31,SHF.DE,2020-12-31,,,-736000.0,-229000.0,-1520000.0,6191000.0,34421000.0,3841000.0,3841000.0,16353000.0,-874000.0,,,,1102000.0,144286000.0,140445000.0,109865000.0,-4577000.0,,-1838000.0,-1520000.0
2019-12-31,SHF.DE,2019-12-31,,,1899000.0,86000.0,-1359000.0,6877000.0,43855000.0,8124000.0,8124000.0,21047000.0,-969000.0,,,,3319000.0,146422000.0,138298000.0,102567000.0,-6225000.0,,-1420000.0,-1359000.0
2018-12-31,SHF.DE,2018-12-31,,,-3643000.0,144000.0,-1417000.0,4978000.0,26572000.0,-5690000.0,-5690000.0,22134000.0,-785000.0,,,,-2020000.0,131040000.0,136730000.0,104468000.0,2047000.0,,-1623000.0,-1417000.0
2017-12-31,SHF.DE,2017-12-31,,,-1859005.0,275398.0,-2431076.0,4327000.0,32010661.0,1599474.0,1599474.0,22308062.0,-1384119.0,,,,806559.0,122697221.0,121097747.0,90686560.0,-3458479.0,,-2665564.0,-2431076.0
2020-12-31,AOF.DE,2020-12-31,14449731.0,,26197612.0,-69042.0,17714070.0,21514992.0,62269996.0,26426285.0,26426285.0,-121012.0,-124166.0,,,,8483542.0,86053411.0,59627126.0,23783415.0,-228673.0,,17714070.0,17714070.0
2019-12-31,AOF.DE,2019-12-31,11944221.0,,19912119.0,-69042.0,13541060.0,18848383.0,50163650.0,19498824.0,19498824.0,-127778.0,-131272.0,,,,6393382.0,71391675.0,51892851.0,21228025.0,413295.0,,13518737.0,13541060.0
2018-12-31,AOF.DE,2018-12-31,11226211.0,,16788914.0,-46720.0,11206216.0,16243213.0,44169497.0,16846598.0,16846598.0,-146525.0,-1067.0,,,,5595233.0,62610818.0,45764220.0,18441321.0,-57684.0,,11193681.0,11206216.0
2017-12-31,AOF.DE,2017-12-31,10260676.0,,14060139.0,-34185.0,9343517.0,14076508.0,38383186.0,14148327.0,14148327.0,-102325.0,-2836.0,,,,4730627.0,54606792.0,40458465.0,16223606.0,-88188.0,,9329512.0,9343517.0
2020-12-31,MBB.DE,2020-12-31,,,25235000.0,144835000.0,12685000.0,224563000.0,317138000.0,26172000.0,26172000.0,27430000.0,-3261000.0,,,,11332000.0,704964000.0,678792000.0,387826000.0,-937000.0,,13903000.0,12685000.0
2019-12-31,MBB.DE,2019-12-31,,,51527000.0,133004000.0,26945000.0,154581000.0,238215000.0,37754000.0,37754000.0,19305000.0,-2184000.0,,,,9225000.0,599237000.0,561483000.0,361022000.0,13773000.0,,42302000.0,26945000.0
2018-12-31,MBB.DE,2018-12-31,,,36517000.0,125522000.0,15392000.0,123270000.0,185870000.0,37601000.0,37601000.0,9625000.0,-1389000.0,,,,9271000.0,514485000.0,476884000.0,328615000.0,-1084000.0,,27246000.0,15392000.0
2017-12-31,MBB.DE,2017-12-31,,,26695000.0,96018000.0,13560000.0,93941000.0,143307000.0,27097000.0,27097000.0,12364000.0,-1426000.0,,,,7364000.0,409985000.0,382888000.0,266678000.0,-402000.0,,19331000.0,13560000.0
2020-09-30,HNL.DE,2020-09-30,,,7846000.0,345000.0,5678000.0,33980000.0,59910000.0,8633000.0,8633000.0,10689000.0,-415000.0,,,,2241000.0,93902000.0,85269000.0,33992000.0,-787000.0,,5605000.0,5678000.0
2019-09-30,HNL.DE,2019-09-30,,,16872000.0,146000.0,12477000.0,37260000.0,72102000.0,16887000.0,16887000.0,14640000.0,-77000.0,,,,4476000.0,107803000.0,90916000.0,35701000.0,-15000.0,,12396000.0,12477000.0
2018-09-30,HNL.DE,2018-09-30,,,30397000.0,163000.0,21738000.0,37557000.0,84704000.0,30643000.0,30643000.0,13354000.0,-274000.0,,,,8671000.0,126709000.0,96066000.0,42005000.0,-246000.0,,21726000.0,21738000.0
2017-09-30,HNL.DE,2017-09-30,,,14877000.0,1898000.0,10427000.0,34376000.0,65275000.0,15277000.0,15277000.0,12685000.0,-315000.0,,,,4463000.0,102183000.0,86906000.0,36908000.0,-400000.0,,10414000.0,10427000.0
2020-12-31,FQT.DE,2020-12-31,,,-4422000.0,3751000.0,-4036000.0,160022000.0,222471000.0,27124000.0,27124000.0,21288000.0,-615000.0,,,,-1033000.0,299590000.0,272466000.0,77119000.0,-31546000.0,,-3389000.0,-4036000.0
2019-12-31,FQT.DE,2019-12-31,,,16984000.0,1568000.0,11818000.0,158564000.0,220581000.0,18260000.0,18260000.0,30795000.0,-819000.0,,,,4462000.0,304003000.0,285743000.0,83422000.0,-1276000.0,,12522000.0,11818000.0
2018-12-31,FQT.DE,2018-12-31,,,15912000.0,1340000.0,11265000.0,153620000.0,207711000.0,16123000.0,16123000.0,31980000.0,-429000.0,,,,4081000.0,285784000.0,269661000.0,78073000.0,-211000.0,,11831000.0,11265000.0
2017-12-31,FQT.DE,2017-12-31,,,14384826.0,1254198.0,9852147.0,144829521.0,189681911.0,14732106.0,14732106.0,24418390.0,-512335.0,,,,3688636.0,266992187.0,252260081.0,77310276.0,-347280.0,,10696190.0,9852147.0
2020-12-31,FRE.DE,2020-12-31,758000000.0,,3726000000.0,9074000000.0,1707000000.0,5235000000.0,10316000000.0,4474000000.0,4474000000.0,-151000000.0,-752000000.0,,,,903000000.0,36277000000.0,31803000000.0,25961000000.0,-748000000.0,,2823000000.0,1707000000.0
2019-12-31,FRE.DE,2019-12-31,660000000.0,,3912000000.0,9802000000.0,1883000000.0,5406000000.0,10348000000.0,4531000000.0,4531000000.0,-249000000.0,-881000000.0,,,,883000000.0,35409000000.0,30878000000.0,25061000000.0,-619000000.0,,3029000000.0,1883000000.0
2018-12-31,FRE.DE,2018-12-31,646000000.0,,4664000000.0,9597000000.0,2027000000.0,4893000000.0,9834000000.0,4335000000.0,4335000000.0,-40000000.0,-942000000.0,,,,950000000.0,33530000000.0,29195000000.0,23696000000.0,329000000.0,,3714000000.0,2027000000.0
2017-12-31,FRE.DE,2017-12-31,558000000.0,,3922000000.0,8059000000.0,1814000000.0,5554000000.0,10491000000.0,4517000000.0,4517000000.0,-138000000.0,-874000000.0,,,,889000000.0,33886000000.0,29369000000.0,23395000000.0,-595000000.0,,3033000000.0,1814000000.0
2021-03-31,FAA.DE,2021-03-31,,,13780000.0,2254000.0,8818000.0,1419000.0,25066000.0,14079000.0,14079000.0,3900000.0,-89000.0,,,,4050000.0,55090000.0,41011000.0,30024000.0,-299000.0,,9730000.0,8818000.0
2020-03-31,FAA.DE,2020-03-31,,,11660000.0,2254000.0,7708000.0,2019000.0,24338000.0,11786000.0,11786000.0,5462000.0,-24000.0,,,,3107000.0,51056000.0,39270000.0,26718000.0,-126000.0,,8553000.0,7708000.0
2019-03-31,FAA.DE,2019-03-31,,,8939000.0,936000.0,5886000.0,1746000.0,19477000.0,9007000.0,9007000.0,6144000.0,-2000.0,,,,2449000.0,40279000.0,31272000.0,20802000.0,-68000.0,,6490000.0,5886000.0
2018-03-31,FAA.DE,2018-03-31,,,5373000.0,563000.0,3671000.0,2877000.0,14057000.0,5690000.0,5690000.0,3688000.0,-1000.0,,,,1436000.0,31959000.0,26269000.0,17902000.0,-317000.0,,3937000.0,3671000.0
2020-11-30,SJJ.DE,2020-11-30,,,-1810221.0,-80514.0,-1586562.0,519000.0,7462851.0,-1897242.0,-1897242.0,5433991.0,-226290.0,,,,-235380.0,72435030.0,74332272.0,64972179.0,87021.0,,-1574841.0,-1586562.0
2019-11-30,SJJ.DE,2019-11-30,,,-2487903.0,-92234.0,-1088336.0,1634000.0,7876377.0,-3325237.0,-3325237.0,8433894.0,-178766.0,,,,-1337962.0,66570848.0,69896085.0,58694471.0,837334.0,,-1149941.0,-1088336.0
2018-11-30,SJJ.DE,2018-11-30,,,2464717.0,-30629.0,-1033904.0,1184000.0,10699267.0,3944828.0,3944828.0,5075918.0,-260111.0,,,,3552662.0,55177579.0,51232751.0,44478312.0,-1480111.0,,-1087945.0,-1033904.0
2017-11-30,SJJ.DE,2017-11-30,,,5430858.0,23412.0,4633538.0,826000.0,10472920.0,5370896.0,5370896.0,4037953.0,-201458.0,,,,781623.0,44347495.0,38976599.0,33874575.0,59962.0,,4649235.0,4633538.0
2020-12-31,UBXN.SW,2020-12-31,86213000.0,,-79050000.0,140000.0,-64625000.0,56578000.0,150433000.0,9307000.0,9307000.0,-1665000.0,-3628000.0,,,,-14187000.0,333513000.0,324206000.0,183080000.0,-88357000.0,,-64863000.0,-64625000.0
2019-12-31,UBXN.SW,2019-12-31,83606000.0,,14219000.0,135000.0,13062000.0,59918000.0,174493000.0,34701000.0,34701000.0,-3732000.0,-2968000.0,,,,1306000.0,385099000.0,350398000.0,210606000.0,-20482000.0,,12913000.0,13062000.0
2018-12-31,UBXN.SW,2018-12-31,74925000.0,,48098000.0,135000.0,38481000.0,57721000.0,177118000.0,48290000.0,48290000.0,-3818000.0,-2064000.0,,,,9617000.0,393269000.0,344979000.0,216151000.0,-192000.0,,38481000.0,38481000.0
2017-12-31,UBXN.SW,2017-12-31,65426000.0,,64702000.0,135000.0,51260000.0,55298000.0,184017000.0,65214000.0,65214000.0,-1921000.0,-1948000.0,,,,13442000.0,403712000.0,338498000.0,219695000.0,-512000.0,,51260000.0,51260000.0
2020-12-31,FTK.DE,2020-12-31,,,69867000.0,528000.0,49908000.0,113726000.0,206502000.0,0.0,70252000.0,-1715000.0,,,,,19943000.0,255948000.0,185696000.0,49446000.0,-385000.0,,49924000.0,49908000.0
2019-12-31,FTK.DE,2019-12-31,,,21628000.0,512000.0,14886000.0,56313000.0,84137000.0,0.0,21605000.0,-6610000.0,,,,,6720000.0,122309000.0,100704000.0,38172000.0,23000.0,,14908000.0,14886000.0
2018-12-31,FTK.DE,2018-12-31,,,28439000.0,490000.0,17474000.0,46005000.0,76130000.0,0.0,31989000.0,-10044000.0,,,,,10965000.0,112976000.0,80987000.0,36846000.0,-3550000.0,,17474000.0,17474000.0
2017-12-31,FTK.DE,2017-12-31,,,25195000.0,490000.0,16796000.0,43891000.0,71424000.0,0.0,25111000.0,-3168000.0,,,,,8179000.0,102409000.0,77298000.0,30985000.0,84000.0,-220000.0,17016000.0,16796000.0
2020-12-31,ZO1.DE,2020-12-31,,,30676963.0,,18930715.0,29157948.0,484048899.0,41913676.0,41913676.0,383610714.0,-1343338.0,,,,11746248.0,1806220606.0,1764306930.0,1322171707.0,-11236713.0,,18930715.0,18930715.0
2019-12-31,ZO1.DE,2019-12-31,,,-15911429.0,,-12067428.0,51477723.0,392072320.0,-10470536.0,-10470536.0,324809537.0,-1427493.0,,,,-3844001.0,1529474201.0,1539944737.0,1137401881.0,-5440893.0,,-12067428.0,-12067428.0
2018-12-31,ZO1.DE,2018-12-31,,,-2281797.0,,-2104587.0,32415204.0,341068684.0,-832097.0,-832097.0,299405747.0,-770879.0,,,,-177210.0,1344920738.0,1345752835.0,1003852054.0,-1449700.0,,-2104587.0,-2104587.0
2017-12-31,ZO1.DE,2017-12-31,,,4051588.0,,1938318.0,21625185.0,280320819.0,1872736.0,1872736.0,252500985.0,-417577.0,,,,2113270.0,1159086476.0,1157213740.0,878765657.0,2178852.0,,1938318.0,1938318.0
2020-09-30,D6H.DE,2020-09-30,,,6612452.0,,248736.0,4474565.0,60093363.0,9360095.0,9360095.0,13439818.0,-2670605.0,,,,6363716.0,367227785.0,357867690.0,307134422.0,-2747643.0,,248736.0,248736.0
2019-09-30,D6H.DE,2019-09-30,,,21689913.0,,14513918.0,5475778.0,63156316.0,21904320.0,21904320.0,12521296.0,-1937280.0,,,,7175995.0,321844548.0,299940228.0,258688232.0,-214407.0,,14513918.0,14513918.0
2018-09-30,D6H.DE,2018-09-30,,,18478592.0,,12873309.0,10306743.0,57649784.0,18210198.0,18210198.0,15093205.0,-2032519.0,,,,5605283.0,272784999.0,254574801.0,215135215.0,268394.0,,12873309.0,12873309.0
2017-09-30,D6H.DE,2017-09-30,,,16598661.0,,11198994.0,6226797.0,39687014.0,12428701.0,12428701.0,12580420.0,-2287259.0,,,,5399667.0,223769063.0,211340362.0,184082049.0,4169960.0,,11198994.0,11198994.0
2020-12-31,EIN3.DE,2020-12-31,,,56365000.0,2431000.0,41201000.0,120732000.0,260891000.0,58842000.0,58842000.0,71694000.0,-903000.0,,,,14560000.0,725717000.0,666875000.0,464826000.0,-2477000.0,,41805000.0,41201000.0
2019-12-31,EIN3.DE,2019-12-31,,,32499000.0,1852000.0,24316000.0,101141000.0,206606000.0,34787000.0,34787000.0,62254000.0,-974000.0,,,,7922000.0,605912000.0,571125000.0,399306000.0,-2288000.0,,24577000.0,24316000.0
2018-12-31,EIN3.DE,2018-12-31,,,35957000.0,2141000.0,25866000.0,99338000.0,198439000.0,38390000.0,38390000.0,55872000.0,-1505000.0,,,,9828000.0,578679000.0,540289000.0,380240000.0,-2433000.0,,26129000.0,25866000.0
2017-12-31,EIN3.DE,2017-12-31,,,35724000.0,2041000.0,21245000.0,88504000.0,191906000.0,37489000.0,37489000.0,60669000.0,-2208000.0,,,,14165000.0,553837000.0,516348000.0,361931000.0,-1765000.0,,21559000.0,21245000.0
2020-12-31,UTDI.DE,2020-12-31,,,556201000.0,392151000.0,290548000.0,973881000.0,1727830000.0,700925000.0,700925000.0,-39845000.0,-37234000.0,,,,187441000.0,5367249000.0,4666324000.0,3639419000.0,-144724000.0,,368760000.0,290548000.0
2019-12-31,UTDI.DE,2019-12-31,,,779697000.0,304753000.0,423937000.0,947653000.0,1767084000.0,772486000.0,772486000.0,-47293000.0,-34478000.0,,,,240742000.0,5194092000.0,4421606000.0,3427008000.0,7211000.0,,538955000.0,423937000.0
2018-12-31,UTDI.DE,2018-12-31,,,561923000.0,223326000.0,188794000.0,897174000.0,1752820000.0,815044000.0,815044000.0,-57938000.0,-31528000.0,,,,249832000.0,5102876000.0,4287832000.0,3350056000.0,-253121000.0,,312091000.0,188794000.0
2017-12-31,UTDI.DE,2017-12-31,,,889023000.0,58718000.0,649186000.0,823419000.0,1515239000.0,684525000.0,684525000.0,7295000.0,-38151000.0,,,,242379000.0,4206302000.0,3521777000.0,2691063000.0,204498000.0,38578000.0,646644000.0,649186000.0
2020-12-31,KGX.DE,2020-12-31,156800000.0,,301600000.0,-13100000.0,215300000.0,1483500000.0,2044800000.0,404500000.0,404500000.0,,-120700000.0,,,,90700000.0,8341600000.0,7937100000.0,6296800000.0,-102900000.0,,210900000.0,215300000.0
2019-12-31,KGX.DE,2019-12-31,155300000.0,,621600000.0,-9200000.0,454800000.0,1505800000.0,2331900000.0,670800000.0,670800000.0,,-124600000.0,,,,176800000.0,8806500000.0,8135700000.0,6474600000.0,-49200000.0,,444800000.0,454800000.0
2018-12-31,KGX.DE,2018-12-31,137700000.0,,545300000.0,3300000.0,399900000.0,1372000000.0,2097600000.0,587900000.0,587900000.0,,-122600000.0,,,,143600000.0,7995700000.0,7407800000.0,5898100000.0,-42600000.0,,401700000.0,399900000.0
2017-12-31,KGX.DE,2017-12-31,137000000.0,,464700000.0,4400000.0,420900000.0,1294400000.0,1954800000.0,523400000.0,523400000.0,,-143300000.0,,,,42200000.0,7598100000.0,7074700000.0,5643300000.0,-58700000.0,,422500000.0,420900000.0
2020-12-31,STMN.SW,2020-12-31,,,113908000.0,5209000.0,91282000.0,730678000.0,1036207000.0,310121000.0,310121000.0,-4592000.0,-15489000.0,,,,21640000.0,1425851000.0,1115730000.0,389644000.0,-196213000.0,,92268000.0,91282000.0
2019-12-31,STMN.SW,2019-12-31,,,365469000.0,3809000.0,306473000.0,801065000.0,1200476000.0,404473000.0,404473000.0,-5062000.0,-17200000.0,,,,57440000.0,1596225000.0,1191752000.0,395749000.0,-39004000.0,,308029000.0,306473000.0
2018-12-31,STMN.SW,2018-12-31,,,326426000.0,3396000.0,272770000.0,680310000.0,1028245000.0,351359000.0,351359000.0,-3424000.0,-8451000.0,,,,48639000.0,1363560000.0,1012201000.0,335315000.0,-24933000.0,,277787000.0,272770000.0
2017-12-31,STMN.SW,2017-12-31,,,323086000.0,-150000.0,279544000.0,560895000.0,840464000.0,282922000.0,282922000.0,-3353000.0,-5658000.0,,,,40867000.0,1112102000.0,829180000.0,271638000.0,40164000.0,,282219000.0,279544000.0
2020-12-31,AT1.DE,2020-12-31,,,1283200000.0,2025300000.0,741300000.0,47100000.0,1053400000.0,1006300000.0,1006300000.0,,-200700000.0,,,,376800000.0,1376000000.0,369700000.0,322600000.0,276900000.0,,906400000.0,651700000.0
2019-12-31,AT1.DE,2019-12-31,,,2059800000.0,1309400000.0,1365900000.0,27300000.0,965600000.0,938300000.0,938300000.0,,-141700000.0,,,,350700000.0,1193500000.0,255200000.0,227900000.0,1121500000.0,,1709100000.0,1308100000.0
2018-12-31,AT1.DE,2018-12-31,,,2085100000.0,567100000.0,1666500000.0,22500000.0,779600000.0,757100000.0,757100000.0,,-114600000.0,,,,257300000.0,998700000.0,241600000.0,219100000.0,1328000000.0,,1827800000.0,1620400000.0
2017-12-31,AT1.DE,2017-12-31,,,1835600000.0,674300000.0,1311400000.0,14700000.0,608400000.0,593700000.0,593700000.0,,-69700000.0,,,,296600000.0,755500000.0,161800000.0,147100000.0,1241900000.0,,1539000000.0,1282600000.0
2020-12-31,HOC.DE,2020-12-31,,,-45790000.0,,-72531000.0,8631000.0,-18108000.0,-48837000.0,-48837000.0,14294000.0,-357000.0,,,,-4887000.0,15799000.0,64636000.0,33907000.0,3047000.0,-31628000.0,-40903000.0,-72531000.0
2019-12-31,HOC.DE,2019-12-31,,,-2367000.0,,-4593000.0,66744000.0,98957000.0,1392000.0,1392000.0,22476000.0,-318000.0,,,,961000.0,135595000.0,134203000.0,36638000.0,-3759000.0,-1265000.0,-3328000.0,-4593000.0
2018-12-31,HOC.DE,2018-12-31,,,2791000.0,,1926000.0,67043000.0,103386000.0,2824000.0,2824000.0,26497000.0,-179000.0,,,,865000.0,142470000.0,139646000.0,39084000.0,-33000.0,-1265000.0,1926000.0,1926000.0
