,ticker,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-12-31,MED.SW,2020-12-31,16172671.0,,-3264177.0,,-943565.0,83601049.0,103506291.0,3732571.0,3732571.0,,-776714.0,,,,-2320612.0,124657066.0,120924495.0,21150775.0,-6996748.0,,-943565.0,-943565.0
2019-12-31,MED.SW,2019-12-31,14545811.0,,3319048.0,,2146521.0,89366315.0,111266930.0,7354804.0,7354804.0,,-886730.0,,,,1172527.0,130143937.0,122789133.0,18877007.0,-4035756.0,,2146521.0,2146521.0
2018-12-31,MED.SW,2018-12-31,13227611.0,,2369112.0,,4201907.0,81727255.0,101011832.0,6056966.0,6056966.0,,-533670.0,,,,-1832795.0,121324703.0,115267737.0,20312871.0,-3687854.0,,4201907.0,4201907.0
2017-12-31,MED.SW,2017-12-31,11363806.0,,8048934.0,,866521.0,66594368.0,87565081.0,9606907.0,9606907.0,,-724074.0,,,,7182413.0,105040292.0,95433385.0,17475211.0,-1557973.0,,866521.0,866521.0
2020-12-31,SAP.DE,2020-12-31,4454000000.0,,7221000000.0,211000000.0,5145000000.0,8462000000.0,19453000000.0,6427000000.0,6427000000.0,110000000.0,-255000000.0,,,,1938000000.0,27338000000.0,20911000000.0,7885000000.0,794000000.0,,5283000000.0,5145000000.0
2019-12-31,SAP.DE,2019-12-31,4292000000.0,,4597000000.0,76000000.0,3321000000.0,9322000000.0,19198000000.0,5602000000.0,5602000000.0,-18000000.0,-362000000.0,,,,1226000000.0,27553000000.0,21951000000.0,8355000000.0,-1005000000.0,,3371000000.0,3321000000.0
2018-12-31,SAP.DE,2018-12-31,3624000000.0,,5600000000.0,45000000.0,4083000000.0,7879000000.0,17245000000.0,5722000000.0,5722000000.0,20000000.0,-312000000.0,,,,1511000000.0,24707000000.0,18985000000.0,7462000000.0,-122000000.0,,4089000000.0,4083000000.0
2017-12-31,SAP.DE,2017-12-31,3352000000.0,,5029000000.0,31000000.0,4008000000.0,7999000000.0,16409000000.0,5059000000.0,5059000000.0,-1000000.0,-205000000.0,,,,983000000.0,23461000000.0,18402000000.0,7052000000.0,-30000000.0,,4046000000.0,4008000000.0
2020-12-31,EVT.DE,2020-12-31,63945000.0,,25807000.0,,6252000.0,76838000.0,125743000.0,51011000.0,51011000.0,-66051000.0,-8465000.0,,,,19555000.0,500924000.0,449913000.0,375181000.0,-25204000.0,,6252000.0,6252000.0
2019-12-31,EVT.DE,2019-12-31,58432000.0,,56562000.0,,38072000.0,65759000.0,132891000.0,75264000.0,75264000.0,-66564000.0,-7456000.0,,,,19334000.0,446437000.0,371173000.0,313546000.0,-18702000.0,,37228000.0,38072000.0
2018-12-31,EVT.DE,2018-12-31,35619000.0,,71999000.0,876000.0,84172000.0,57012000.0,112016000.0,64235000.0,64235000.0,-44850000.0,-2591000.0,,,,-12057000.0,375405000.0,311170000.0,263389000.0,7764000.0,,84056000.0,84172000.0
2017-12-31,EVT.DE,2017-12-31,17614000.0,,25565000.0,992000.0,23476000.0,42383000.0,81800000.0,36587000.0,36587000.0,-14784000.0,-1261000.0,,,,2347000.0,263765000.0,227178000.0,181965000.0,-11022000.0,,23218000.0,23476000.0
2020-12-31,SANT.DE,2020-12-31,,,60688000.0,5432000.0,55609000.0,281177000.0,473359000.0,63482000.0,63482000.0,69407000.0,-9256000.0,,,,6065000.0,1272406000.0,1208924000.0,799047000.0,-2794000.0,,54623000.0,55609000.0
2019-12-31,SANT.DE,2019-12-31,,,54064000.0,12363000.0,49109000.0,255279000.0,423042000.0,55897000.0,55897000.0,61923000.0,-9010000.0,,,,4552000.0,1138413000.0,1082516000.0,715371000.0,-1833000.0,,49512000.0,49109000.0
2018-12-31,SANT.DE,2018-12-31,,,56344000.0,11306000.0,44983000.0,214216000.0,361657000.0,54368000.0,54368000.0,64034000.0,-6161000.0,,,,7881000.0,1005992000.0,951624000.0,644335000.0,1976000.0,,48463000.0,44983000.0
2017-12-31,SANT.DE,2017-12-31,,,35383000.0,26745000.0,22507000.0,200875000.0,328328000.0,33517000.0,33517000.0,67623000.0,-6916000.0,,,,6013000.0,895328000.0,861811000.0,567000000.0,1866000.0,,29370000.0,22507000.0
2020-12-31,AAG.DE,2020-12-31,,,-20805000.0,,-18327000.0,69693000.0,63851000.0,-19951000.0,-19951000.0,7967000.0,-985000.0,,,,-2478000.0,175867000.0,195818000.0,112016000.0,-854000.0,,-18327000.0,-18327000.0
2019-12-31,AAG.DE,2019-12-31,,,15248000.0,,10994000.0,76139000.0,104631000.0,15465000.0,15465000.0,8051000.0,-1035000.0,,,,4254000.0,263602000.0,248137000.0,158971000.0,-217000.0,,10994000.0,10994000.0
2018-12-31,AAG.DE,2018-12-31,,,25505000.0,,18222000.0,75802000.0,113663000.0,25971000.0,25971000.0,6089000.0,-1297000.0,,,,7283000.0,293616000.0,267645000.0,179953000.0,-466000.0,,18222000.0,18222000.0
2017-12-31,AAG.DE,2017-12-31,,,19070000.0,,13040000.0,52952000.0,81099000.0,19714000.0,19714000.0,5882000.0,-1168000.0,,,,6030000.0,213758000.0,194044000.0,132659000.0,-644000.0,,13040000.0,13040000.0
2020-12-31,LPK.DE,2020-12-31,,,7305000.0,,5342000.0,41527000.0,68153000.0,7503000.0,7503000.0,11900000.0,-290000.0,,,,1963000.0,101932000.0,94429000.0,33779000.0,-198000.0,,5342000.0,5342000.0
2019-12-31,LPK.DE,2019-12-31,,,18750000.0,,13149000.0,44830000.0,87999000.0,18952000.0,18952000.0,16545000.0,-506000.0,,,,5601000.0,144873000.0,125921000.0,56874000.0,-202000.0,,13149000.0,13149000.0
2018-12-31,LPK.DE,2018-12-31,,,5974000.0,,8041000.0,41994000.0,76235000.0,9422000.0,9422000.0,16750000.0,-826000.0,,,,-2067000.0,124863000.0,115441000.0,48628000.0,-3448000.0,,8041000.0,8041000.0
