,ticker,Date,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities,Repurchase Of Stock,Dividends Paid
2020-12-31,NUVA,2020-12-31,-172345000.0,8756000.0,-281934000.0,873848000.0,736656000.0,6170000.0,-37153000.0,643835000.0,3202000.0,185911000.0,130537000.0,,-40765000.0,3030000.0,-62697000.0,84496000.0,-105729000.0,-28640000.0,-80665000.0,
2019-12-31,NUVA,2019-12-31,-172345000.0,-3924000.0,-134484000.0,873848000.0,-6644000.0,6415000.0,65234000.0,94293000.0,131000.0,235290000.0,125193000.0,,-54872000.0,-16407000.0,1419000.0,64940000.0,-122883000.0,19634000.0,-14478000.0,
2018-12-31,NUVA,2018-12-31,3584000.0,22900000.0,-161285000.0,873848000.0,-14578000.0,8127000.0,12479000.0,42037000.0,-1283000.0,219183000.0,119165000.0,,-38646000.0,4562000.0,-19777000.0,64631000.0,-101921000.0,1315000.0,-2928000.0,
2017-12-31,NUVA,2017-12-31,3584000.0,-4263000.0,-174861000.0,-63317000.0,-87028000.0,9991000.0,81598000.0,-82850000.0,2070000.0,176969000.0,111076000.0,,-35867000.0,-26610000.0,-21842000.0,28698000.0,-110221000.0,-11756000.0,-11860000.0,
2020-12-31,NTES,2020-12-31,-25758786000.0,2256564000.0,-29192407000.0,4041065000.0,9913087000.0,21911815000.0,12062754000.0,5770745000.0,161894000.0,24888171000.0,3457782000.0,-160674000.0,29699000.0,-530413000.0,-268343000.0,4596156000.0,-1055572000.0,1888981000.0,-11490988000.0,-4280462000.0
2019-12-31,NTES,2019-12-31,-27025012000.0,896971000.0,-22136741000.0,2971531000.0,1082525000.0,21911815000.0,21237516000.0,-3808678000.0,29080000.0,17216458000.0,2613782000.0,-874597000.0,415057000.0,-11314000.0,6951628000.0,-6276689000.0,-1209477000.0,-1525064000.0,-11490988000.0,-8840634000.0
2018-12-31,NTES,2018-12-31,-6146361000.0,1870309000.0,-13569515000.0,6209608000.0,1587419000.0,21911815000.0,6152407000.0,1515292000.0,81511000.0,13415877000.0,2060135000.0,1297142000.0,-81440000.0,-612656000.0,4334684000.0,3531754000.0,-2169404000.0,-189656000.0,-7516679000.0,-1440194000.0
2017-12-31,NTES,2017-12-31,-10111368000.0,-1258905000.0,-12855270000.0,3104970000.0,-1302728000.0,21911815000.0,10707939000.0,-2281526000.0,-12766000.0,11889238000.0,791778000.0,3000593000.0,-754889000.0,596054000.0,911500000.0,-275210000.0,-1654486000.0,2252601000.0,-2061591000.0,-3257607000.0
2020-11-01,AVGO,2020-11-01,,-3000000.0,-11109000000.0,7703000000.0,1611000000.0,276000000.0,2960000000.0,2563000000.0,,12061000000.0,6905000000.0,-4000000.0,-31000000.0,981000000.0,-69000000.0,1103000000.0,-463000000.0,146000000.0,-765000000.0,-5534000000.0
2019-11-03,AVGO,2019-11-03,-5000000.0,-42000000.0,-15422000000.0,13234000000.0,6488000000.0,253000000.0,2724000000.0,763000000.0,,9697000000.0,5808000000.0,3000000.0,250000000.0,486000000.0,-36000000.0,1349000000.0,-432000000.0,-878000000.0,-6407000000.0,-4235000000.0
