comp_name,symbol,stock_exchange_suffix,ticker,curr,stock_exchange_advisor,status_advisor,date_advisor,price_when_advised,source_advisor
Editas Medicine,EDIT,,EDIT,USD,,,20.12.17,24.89,Rule_breaker
Camping World Holdings,CWH,,CWH,USD,,,22.11.17,35.61,Rule_breaker
Teladoc Health,TDOC,,TDOC,USD,,Starter,22.11.17,34,Rule_breaker
Abiomed,ABMD,,ABMD,USD,,,25.10.17,171.37,Rule_breaker
Editas Medicine,EDIT,,EDIT,USD,,,27.09.17,19.93,Rule_breaker
Tencent Holdings,TCEHY,,TCEHY,USD,,,27.09.17,42.9,Rule_breaker
Align Technology,ALGN,,ALGN,USD,,,23.08.17,172.85,Rule_breaker
HubSpot,HUBS,,HUBS,USD,,Starter,23.08.17,69.4,Rule_breaker
First Solar,FSLR,,FSLR,USD,,,26.07.17,45.44,Rule_breaker
Live Nation Entertainment,LYV,,LYV,USD,,,26.07.17,36.7,Rule_breaker
Bluebird Bio,BLUE,,BLUE,USD,,,28.06.17,109.1,Rule_breaker
Hello Group,MOMO,,MOMO,USD,,Hold,24.05.17,35.32,Rule_breaker
The Trade Desk,TTD,,TTD,USD,,Starter,24.05.17,5.15,Rule_breaker
Abiomed,ABMD,,ABMD,USD,,,26.04.17,130.08,Rule_breaker
MercadoLibre,MELI,,MELI,USD,,,26.04.17,227.91,Rule_breaker
Live Nation Entertainment,LYV,,LYV,USD,,,22.03.17,28.75,Rule_breaker
Veeva Systems,VEEV,,VEEV,USD,,,22.03.17,48.99,Rule_breaker
The Trade Desk,TTD,,TTD,USD,,Starter,22.02.17,3.43,Rule_breaker
Trex,TREX,,TREX,USD,,,22.02.17,16.45,Rule_breaker
Twilio,TWLO,,TWLO,USD,,,25.01.17,29.05,Rule_breaker
Twitter,TWTR,,TWTR,USD,,,25.01.17,16.73,Rule_breaker
Camping World Holdings,CWH,,CWH,USD,,,21.12.16,26.54,Rule_breaker
Impinj,PI,,PI,USD,,,21.12.16,38.33,Rule_breaker
Etsy,ETSY,,ETSY,USD,,,23.11.16,13.12,Rule_breaker
Ubiquiti Inc.,UI,,UI,USD,,,23.11.16,55.49,Rule_breaker
2U,TWOU,,TWOU,USD,,,26.10.16,35.74,Rule_breaker
ResMed,RMD,,RMD,USD,,,26.10.16,56.72,Rule_breaker
Atlassian,TEAM,,TEAM,USD,,,28.09.16,30,Rule_breaker
Chipotle Mexican Grill,CMG,,CMG,USD,,,28.09.16,418.31,Rule_breaker
Gartner,IT,,IT,USD,,,24.08.16,90.11,Rule_breaker
Under Armour (C Shares),UA,,UA,USD,,Hold,24.08.16,38.88,Rule_breaker
2U,TWOU,,TWOU,USD,,,27.07.16,35.25,Rule_breaker
MicroStrategy,MSTR,,MSTR,USD,,,27.07.16,182.98,Rule_breaker
Electronic Arts,EA,,EA,USD,,,22.06.16,74.43,Rule_breaker
NuVasive,NUVA,,NUVA,USD,,,22.06.16,57.79,Rule_breaker
NetEase,NTES,,NTES,USD,,,25.05.16,32.07,Rule_breaker
Axos Financial,AX,,AX,USD,,,27.04.16,19.43,Rule_breaker
Broadcom Ltd Corporate Action Details,AVGO,,AVGO,USD,,,27.04.16,128.05,Rule_breaker
Shopify,SHOP,,SHOP,USD,,,23.03.16,26.2,Rule_breaker
Workday,WDAY,,WDAY,USD,,,23.03.16,71.26,Rule_breaker
Shopify,SHOP,,SHOP,USD,,,24.02.16,21.02,Rule_breaker
Intercontinental Exchange,ICE,,ICE,USD,,,27.01.16,47.06,Rule_breaker
Planet Fitness,PLNT,,PLNT,USD,,,27.01.16,11.93,Rule_breaker
CyberArk Software,CYBR,,CYBR,USD,,,25.11.15,44.42,Rule_breaker
Take-Two Interactive,TTWO,,TTWO,USD,,Starter,25.11.15,35.62,Rule_breaker
Axon Enterprise,AXON,,AXON,USD,,Starter,28.10.15,23.48,Rule_breaker
Biogen Corporate Action Details,BIIB,,BIIB,USD,,,28.10.15,,Rule_breaker
Skechers,SKX,,SKX,USD,,,23.09.15,47.57,Rule_breaker
Wayfair,W,,W,USD,,,26.08.15,43.05,Rule_breaker
NXP Semiconductors,NXPI,,NXPI,USD,,,22.07.15,86.81,Rule_breaker
Skyworks Solutions,SWKS,,SWKS,USD,,,22.07.15,90.68,Rule_breaker
Dave & Busters Entertainment,PLAY,,PLAY,USD,,,24.06.15,35.95,Rule_breaker
Cerner,CERN,,CERN,USD,,,22.04.15,70.46,Rule_breaker
Euronet Worldwide,EEFT,,EEFT,USD,,,25.03.15,56.56,Rule_breaker
Baidu,BIDU,,BIDU,USD,,,25.02.15,203.53,Rule_breaker
Bluebird Bio,BLUE,,BLUE,USD,,,28.01.15,94.82,Rule_breaker
MercadoLibre,MELI,,MELI,USD,,,23.12.14,125.11,Rule_breaker
Zendesk,ZEN,,ZEN,USD,,,23.12.14,24.55,Rule_breaker
Arista Networks,ANET,,ANET,USD,,,25.11.14,73.74,Rule_breaker
SS&C Technologies Holdings,SSNC,,SSNC,USD,,,25.11.14,23.97,Rule_breaker
Veeva Systems,VEEV,,VEEV,USD,,,24.09.14,28.83,Rule_breaker
Proto Labs,PRLB,,PRLB,USD,,,27.08.14,76.05,Rule_breaker
MicroStrategy,MSTR,,MSTR,USD,,,23.07.14,138.37,Rule_breaker
Align Technology,ALGN,,ALGN,USD,,,25.06.14,54.05,Rule_breaker
Insulet,PODD,,PODD,USD,,,28.05.14,36.45,Rule_breaker
Splunk,SPLK,,SPLK,USD,,,28.05.14,48.88,Rule_breaker
Five Below,FIVE,,FIVE,USD,,,23.04.14,38.56,Rule_breaker
Palo Alto Networks,PANW,,PANW,USD,,,23.04.14,69.05,Rule_breaker
NuVasive,NUVA,,NUVA,USD,,,26.03.14,37.23,Rule_breaker
Zillow Group (A shares),ZG,,ZG,USD,,,26.02.14,,Rule_breaker
Ubiquiti Inc.,UI,,UI,USD,,,22.01.14,42.43,Rule_breaker
Twitter,TWTR,,TWTR,USD,,,18.12.13,55.51,Rule_breaker
Ionis Pharmaceuticals,IONS,,IONS,USD,,,27.11.13,39.28,Rule_breaker
Middleby,MIDD,,MIDD,USD,,,23.10.13,74.88,Rule_breaker
Tesla Corporate Action Details,TSLA,,TSLA,USD,,,23.10.13,105.19,Rule_breaker
CoStar Group,CSGP,,CSGP,USD,,,25.09.13,16.48,Rule_breaker
Alnylam Pharmaceuticals,ALNY,,ALNY,USD,,,24.07.13,44.95,Rule_breaker
Chart Industries,GTLS,,GTLS,USD,,,26.06.13,91.36,Rule_breaker
Sirius XM Holdings Inc. Corporate Action Details,SIRI,,SIRI,USD,,,26.06.13,12.02,Rule_breaker
Axos Financial,AX,,AX,USD,,,22.05.13,9.81,Rule_breaker
Seagen Inc.,SGEN,,SGEN,USD,,,24.04.13,36.53,Rule_breaker
Equinix,EQIX,,EQIX,USD,,,27.03.13,172.65,Rule_breaker
Middleby,MIDD,,MIDD,USD,,,27.03.13,50.19,Rule_breaker
Bristol Myers Squibb Corporate Action Details,BMY,,BMY,USD,,,27.02.13,25.18,Rule_breaker
Intuitive Surgical,ISRG,,ISRG,USD,,,23.01.13,189.02,Rule_breaker
Axos Financial,AX,,AX,USD,,,21.11.12,6.52,Rule_breaker
MasTec,MTZ,,MTZ,USD,,,21.11.12,22.54,Rule_breaker
Facebook,FB,,FB,USD,,,24.10.12,23.23,Rule_breaker
Yandex,YNDX,,YNDX,USD,,,26.09.12,23.35,Rule_breaker
Facebook,FB,,FB,USD,,,25.07.12,29.34,Rule_breaker
Trex,TREX,,TREX,USD,,,25.07.12,3.38,Rule_breaker
Proto Labs,PRLB,,PRLB,USD,,,27.06.12,30.02,Rule_breaker
Zillow Group (A shares),ZG,,ZG,USD,,,25.04.12,,Rule_breaker
Intuitive Surgical,ISRG,,ISRG,USD,,,25.01.12,151.89,Rule_breaker
MercadoLibre,MELI,,MELI,USD,,,25.01.12,86.09,Rule_breaker
Salesforce.com,CRM,,CRM,USD,,,21.12.11,24.76,Rule_breaker
Tesla,TSLA,,TSLA,USD,,,23.11.11,6.29,Rule_breaker
Zillow Group (A shares),ZG,,ZG,USD,,,28.09.11,,Rule_breaker
Emergent BioSolutions,EBS,,EBS,USD,,,27.04.11,22.28,Rule_breaker
NXP Semiconductors,NXPI,,NXPI,USD,,,23.03.11,26.03,Rule_breaker
Lululemon Athletica,LULU,,LULU,USD,,,22.12.10,35.85,Rule_breaker
Universal Display,OLED,,OLED,USD,,,23.06.10,17.46,Rule_breaker
New Oriental Education & Technology Group,EDU,,EDU,USD,,Hold,28.04.10,2.21,Rule_breaker
Exact Sciences Corporate Action Details,EXAS,,EXAS,USD,,,24.02.10,21.75,Rule_breaker
LivePerson,LPSN,,LPSN,USD,,,24.02.10,6.73,Rule_breaker
American Tower,AMT,,AMT,USD,,,23.12.09,35.83,Rule_breaker
FactSet Research Systems,FDS,,FDS,USD,,,19.08.09,47.86,Rule_breaker
Alphabet (C shares),GOOG,,GOOG,USD,,Starter,15.07.09,,Rule_breaker
Copart,CPRT,,CPRT,USD,,,15.04.09,7.54,Rule_breaker
Open Text,OTEX,,OTEX,USD,,,18.03.09,7.1,Rule_breaker
MercadoLibre,MELI,,MELI,USD,,,18.02.09,14.13,Rule_breaker
Monster Beverage,MNST,,MNST,USD,,,21.01.09,5.56,Rule_breaker
Salesforce.com,CRM,,CRM,USD,,,21.01.09,6.89,Rule_breaker
Intuitive Surgical,ISRG,,ISRG,USD,,,19.11.08,40.36,Rule_breaker
AeroVironment,AVAV,,AVAV,USD,,,20.08.08,32.95,Rule_breaker
Baidu,BIDU,,BIDU,USD,,,20.08.08,32.12,Rule_breaker
Alphabet (C shares),GOOG,,GOOG,USD,,Starter,21.05.08,,Rule_breaker
VMware,VMW,,VMW,USD,,,21.05.08,54.32,Rule_breaker
IPG Photonics,IPGP,,IPGP,USD,,,19.03.08,13.88,Rule_breaker
Take-Two Interactive,TTWO,,TTWO,USD,,Starter,19.12.07,18.75,Rule_breaker
Take-Two Interactive,TTWO,,TTWO,USD,,Starter,19.09.07,16.93,Rule_breaker
Under Armour (C Shares),UA,,UA,USD,,Hold,19.09.07,,Rule_breaker
Vertex Pharmaceuticals,VRTX,,VRTX,USD,,,18.07.07,29.15,Rule_breaker
BioMarin Pharmaceutical,BMRN,,BMRN,USD,,,16.05.07,18.16,Rule_breaker
IPG Photonics,IPGP,,IPGP,USD,,,18.04.07,20.52,Rule_breaker
Exelixis,EXEL,,EXEL,USD,,,21.03.07,10,Rule_breaker
Chipotle Mexican Grill,CMG,,CMG,USD,,,17.01.07,60.6,Rule_breaker
Blackbaud,BLKB,,BLKB,USD,,,15.11.06,22.99,Rule_breaker
Baidu,BIDU,,BIDU,USD,,,18.10.06,8.34,Rule_breaker
Under Armour (C Shares),UA,,UA,USD,,Hold,19.07.06,,Rule_breaker
Intuitive Surgical,ISRG,,ISRG,USD,,,15.02.06,34.06,Rule_breaker
Exelixis,EXEL,,EXEL,USD,,,19.10.05,7.34,Rule_breaker
Intuitive Surgical,ISRG,,ISRG,USD,,,21.09.05,23.23,Rule_breaker
Universal Display,OLED,,OLED,USD,,,18.05.05,8.93,Rule_breaker
Intuitive Surgical,ISRG,,ISRG,USD,,,16.03.05,14.72,Rule_breaker
Intercontinental Exchange Corporate Action Details,ICE,,ICE,USD,,,19.01.05,11.27,Rule_breaker
Vertex Pharmaceuticals,VRTX,,VRTX,USD,,,19.01.05,10.48,Rule_breaker
NetEase,NTES,,NTES,USD,,,15.12.04,2.21,Rule_breaker
